tag.local.identifier,Release,Death,Aviary,,,
6997,13-09-2019 10:30,NA,Affenberg_2019,,,
6998,13-09-2019 10:30,02-09-2020 19:02,Affenberg_2019,,,
6999,13-09-2019 10:30,NA,Affenberg_2019,,,
7004,13-09-2019 09:30,24-04-2020 04:30,Affenberg_2019,,,
7008,13-09-2019 10:30,23-03-2021 19:16,Affenberg_2019,,,
7013,13-09-2019 10:30,NA,Affenberg_2019,,,
7016,13-09-2019 10:30,NA,Affenberg_2019,,,
7017,13-09-2019 09:30,NA,Affenberg_2019,,,
7019,13-09-2019 10:30,14-12-2021 02:02,Affenberg_2019,,,
7020,13-09-2019 10:30,NA,Affenberg_2019,,,
7021,13-09-2019 10:30,17-10-2019 17:45,Affenberg_2019,,,
7022,13-09-2019 10:30,NA,Affenberg_2019,,,
7023,13-09-2019 10:30,18-09-2019 02:30,Affenberg_2019,,,
7024,13-09-2019 10:30,NA,Affenberg_2019,,,
7025,13-09-2019 10:30,02-07-2020 02:02,Affenberg_2019,,,
7026,13-09-2019 09:30,NA,Affenberg_2019,,,
7027,13-09-2019 10:30,14-09-2019 18:00,Affenberg_2019,,,
7028,13-09-2019 10:30,15-09-2019 19:00,Affenberg_2019,,,
7029,13-09-2019 10:30,13-02-2021 02:00,Affenberg_2019,,,
7030,13-09-2019 10:30,NA,Affenberg_2019,,,
7958,16-09-2020 10:00,NA,Affenberg_2020,,,
7962,16-09-2020 10:00,21-09-2020 02:00,Affenberg_2020,,,
7964,16-09-2020 10:00,21-09-2020 02:00,Affenberg_2020,,,
7967,16-09-2020 10:00,18-09-2020 02:00,Affenberg_2020,,,
7972,16-09-2020 10:00,NA,Affenberg_2020,,,
7973,16-09-2020 10:00,NA,Affenberg_2020,,,
7976,16-09-2020 10:00,14-10-2020 02:47,Affenberg_2020,,,
7977,16-09-2020 10:00,16-01-2021 13:30,Affenberg_2020,,,
7981,16-09-2020 10:00,29-10-2021 13:30,Affenberg_2020,,,
7983,16-09-2020 10:00,NA,Affenberg_2020,,,
7985,16-09-2020 10:00,NA,Affenberg_2020,,,
7988,16-09-2020 10:00,NA,Affenberg_2020,,,
7990,16-09-2020 10:00,20-09-2020 04:30,Affenberg_2020,,,
7991,16-09-2020 10:00,16-01-2021 15:00,Affenberg_2020,,,
8028,16-09-2020 10:00,15-09-2021 03:17,Affenberg_2020,,,
8039,16-09-2020 10:00,21-09-2020 02:45,Affenberg_2020,,,
8040,16-09-2020 10:00,06-10-2020 16:30,Affenberg_2020,,,
8041,16-09-2020 10:00,16-01-2021 02:00,Affenberg_2020,,,
8042,16-09-2020 10:00,14-11-2020 09:45,Affenberg_2020,,,
8052,16-09-2020 10:00,11-02-2021 02:00,Affenberg_2020,,,
7050,11-08-2019 10:45,20-12-2019 02:00,CareCenter_2019,,,
7044,11-08-2019 10:45,NA,CareCenter_2019,,,
7045,11-08-2019 10:45,30-07-2021 20:45,CareCenter_2019,,,
6717,11-08-2019 10:45,28-11-2019 17:45,CareCenter_2019,,,
7047,11-08-2019 10:45,03-09-2019 02:00,CareCenter_2019,,,
7046,11-08-2019 10:45,27-09-2019 14:45,CareCenter_2019,,,
7048,11-08-2019 10:45,08-09-2019 16:00,CareCenter_2019,,,
7212,11-08-2019 10:45,04-09-2019 16:30,CareCenter_2019,,,
7094,11-08-2019 10:45,09-10-2019 18:30,CareCenter_2019,,,
3813,16-08-2020 10:30,24-07-2021 02:00,CareCenter_2020,,,
8636,16-08-2020 10:30,01-09-2020 13:55,CareCenter_2020,,,
8019,16-08-2020 10:30,NA,CareCenter_2020,,,
7344,16-08-2020 10:30,28-08-2020 17:30,CareCenter_2020,,,
7994,16-08-2020 10:30,NA,CareCenter_2020,,,
8048,16-08-2020 10:30,NA,CareCenter_2020,,,
7025,16-08-2020 10:30,08-12-2020 19:30,CareCenter_2020,,,
8026,16-08-2020 10:30,01-09-2020 10:15,CareCenter_2020,,,
7664,16-08-2020 10:30,28-08-2020 19:17,CareCenter_2020,,,
7264,16-08-2020 10:30,26-09-2020 23:00,CareCenter_2020,,,
8047,NA,13-03-2021 19:15,CASCB_West,,,
8011,NA,03-09-2020 17:55,CASCB_East,,,
7999,NA,31-08-2020 23:00,CASCB_West,,,
8002,NA,04-11-2020 16:32,CASCB_East,,,
8050,NA,21-08-2020 02:45,CASCB_West,,,
8025,NA,26-08-2020 12:40,CASCB_East,,,
8006,NA,05-10-2020 15:15,CASCB_East,,,
8044,NA,12-12-2020 11:00,CASCB_West,,,
8023,NA,NA,CASCB_East,,,
8024,NA,NA,CASCB_East,,,
8038,NA,28-09-2020 03:00,CASCB_West,,,
8018,NA,29-08-2020 04:00,CASCB_East,,,
8013,NA,NA,CASCB_East,,,
8007,NA,NA,CASCB_East,,,
8045,NA,01-04-2021 02:00,CASCB_West,,,
8049,NA,NA,CASCB_West,,,
7996,NA,NA,CASCB_West,,,
8029,NA,27-08-2020 16:01,CASCB_East,,,
8027,NA,23-08-2020 11:55,CASCB_East,,,
8030,NA,NA,CASCB_East,,,
8012,NA,01-09-2020 00:00,CASCB_East,,,
8048,NA,06-07-2020 09:45,CASCB_West,,,
8046,NA,24-08-2020 18:45,CASCB_West,,,
7028,NA,29-06-2021 23:00,CASCB_East,,,
8036,NA,05-08-2020 02:00,CASCB_East,,,
8035,NA,NA,CASCB_East,,,
8016,NA,21-03-2021 23:00,CASCB_West,,,
8019,NA,20-07-2020 02:30,CASCB_East,,,
8004,NA,05-09-2020 19:00,CASCB_East,,,
8051,NA,NA,CASCB_West,,,
8021,NA,14-09-2020 07:30,CASCB_East,,,
8031,NA,27-08-2020 19:00,CASCB_East,,,
7993,NA,NA,CASCB_West,,,
8001,NA,04-08-2020 02:25,CASCB_West,,,
8000,NA,16-08-2020 02:00,CASCB_West,,,
8005,NA,NA,CASCB_West,,,
8009,NA,13-02-2021 00:00,CASCB_West,,,
8014,NA,02-09-2020 18:30,CASCB_West,,,
7992,NA,03-03-2022 02:00,CASCB_West,,,
8043,NA,13-01-2022 05:10,CASCB_West,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
